"Date","Pharma","FMCG","Power","Steel","Month","Year"
1995-01-02,98.75,59,13.61,150.98,1,1995
1995-01-03,101.25,58.5,13.27,150.25,1,1995
1995-01-04,101.25,58,13.27,148.77,1,1995
1995-01-05,98.75,57,13.03,145.09,1,1995
1995-01-06,95,56.5,12.79,141.41,1,1995
1995-01-09,97.5,57,12.55,138.46,1,1995
1995-01-10,95,55.5,12.11,135.52,1,1995
1995-01-11,95,56,12.3,137.73,1,1995
1995-01-12,92.5,56.5,12.3,135.52,1,1995
1995-01-13,92.5,57,12.64,139.94,1,1995
1995-01-16,93.75,59,13.51,140.67,1,1995
1995-01-17,97.5,60.5,13.61,138.46,1,1995
1995-01-18,96.25,61,13.41,141.41,1,1995
1995-01-19,96.25,60.5,13.17,140.67,1,1995
1995-01-20,93.75,60.5,13.27,137.73,1,1995
1995-01-23,95,58,12.93,132.57,1,1995
1995-01-24,92.5,57,12.55,128.15,1,1995
1995-01-25,95,57,13.41,131.83,1,1995
1995-01-27,92.5,57.5,13.27,136.25,1,1995
1995-01-30,91.25,60,13.51,138.46,1,1995
1995-01-31,91.25,60.5,13.65,138.46,1,1995
1995-02-01,90,60,13.61,132.57,2,1995
1995-02-02,90,59.5,13.41,135.52,2,1995
1995-02-03,87.5,59,13.51,139.2,2,1995
1995-02-06,88.75,59.5,13.37,135.52,2,1995
1995-02-07,88.75,59,13.32,136.25,2,1995
1995-02-08,88.75,59,12.88,133.31,2,1995
1995-02-09,87.5,59,12.93,136.25,2,1995
1995-02-10,87.5,58,13.03,134.78,2,1995
1995-02-13,87.5,58.5,12.83,133.31,2,1995
1995-02-14,88.75,59,12.83,134.04,2,1995
1995-02-15,87.5,58,12.88,132.57,2,1995
1995-02-16,87.5,56.5,12.74,127.42,2,1995
1995-02-17,87.5,57,12.35,127.42,2,1995
1995-02-20,87.5,57,12.16,126.68,2,1995
1995-02-21,87.5,57,12.06,122.26,2,1995
1995-02-22,86.25,55.5,12.06,122.26,2,1995
1995-02-23,86.25,56.5,12.11,128.89,2,1995
1995-02-24,87.5,57,13.03,134.78,2,1995
1995-02-28,87.5,57.5,12.45,133.31,2,1995
1995-03-01,87.5,57.25,12.64,137.73,3,1995
1995-03-02,86.88,56.75,12.74,138.46,3,1995
1995-03-03,88.75,57,12.93,139.94,3,1995
1995-03-06,88.75,57.5,12.69,140.67,3,1995
1995-03-07,87.5,57.5,12.45,136.99,3,1995
1995-03-08,88.13,57.5,12.55,138.46,3,1995
1995-03-09,87.5,57.5,12.45,139.94,3,1995
1995-03-10,87.5,57.5,12.79,141.41,3,1995
1995-03-13,87.5,57,12.45,133.31,3,1995
1995-03-14,87.5,58.5,12.64,138.46,3,1995
1995-03-15,87.5,58,12.79,138.46,3,1995
1995-03-16,86.25,56.5,12.26,130.36,3,1995
1995-03-23,86.25,56,11.97,126.68,3,1995
1995-03-24,85,56,11.97,126.68,3,1995
1995-03-27,85,56,11.77,128.89,3,1995
1995-03-28,85,56.5,11.97,128.15,3,1995
1995-03-29,83.75,56.5,12.26,128.15,3,1995
1995-03-30,85,56.5,11.97,127.42,3,1995
1995-03-31,85,56,11.92,125.94,3,1995
1995-04-03,82.5,56.5,12.26,130.36,4,1995
1995-04-04,85,57.5,12.26,133.31,4,1995
1995-04-05,85,57.5,12.45,135.52,4,1995
1995-04-06,86.25,57.5,12.55,139.94,4,1995
1995-04-07,86.25,57.5,12.55,138.46,4,1995
1995-04-10,85.63,57.75,12.16,137.73,4,1995
1995-04-17,86.25,57.5,11.77,137.73,4,1995
1995-04-18,85,57.5,11.77,134.04,4,1995
1995-04-19,85,57,11.58,131.83,4,1995
1995-04-20,85,56,11.58,130.36,4,1995
1995-04-21,85,56,11.68,131.83,4,1995
1995-04-24,85,56,11.48,128.15,4,1995
1995-04-25,82.5,55.75,11.19,126.68,4,1995
1995-04-26,81.25,56,11.39,126.68,4,1995
1995-04-27,80,55.5,11.29,121.52,4,1995
1995-04-28,78.75,55.5,11,117.1,4,1995
1995-05-02,77.5,54.5,10.52,109.74,5,1995
1995-05-03,75,54,10.62,114.16,5,1995
1995-05-04,75,55.5,10.86,114.16,5,1995
1995-05-05,75,57.5,10.86,120.05,5,1995
1995-05-08,76.25,58,11,120.05,5,1995
1995-05-09,76.25,58.4,10.95,120.2,5,1995
1995-05-10,78.75,59.6,10.9,118.14,5,1995
1995-05-12,78.75,58.2,10.86,118.72,5,1995
1995-05-15,78.75,56,10.81,116.07,5,1995
1995-05-16,76.88,56.6,10.81,117.84,5,1995
1995-05-17,76.25,58,10.81,120.49,5,1995
1995-05-18,78.75,57,11.1,124.32,5,1995
1995-05-19,80,58,11.48,126.09,5,1995
1995-05-22,77.5,57.2,11.58,121.97,5,1995
1995-05-23,77.5,56.8,11.29,121.08,5,1995
1995-05-24,77.5,57.2,11.39,116.66,5,1995
1995-05-25,76.25,57.4,11.39,116.07,5,1995
1995-05-26,76.25,57.4,11.39,120.79,5,1995
1995-05-29,76.25,57.2,11.48,123.73,5,1995
1995-05-30,76.25,57.4,11.58,128.74,5,1995
1995-05-31,76.25,58.4,12.06,132.87,5,1995
1995-06-01,77.5,58.6,12.55,137.87,6,1995
1995-06-02,77.5,59,12.74,133.75,6,1995
1995-06-05,77.5,58.6,13.03,133.45,6,1995
1995-06-06,76.25,59.4,12.83,138.17,6,1995
1995-06-07,76.25,60.2,12.64,135.52,6,1995
1995-06-08,75,60,12.64,134.04,6,1995
1995-06-09,75,59.4,12.64,135.22,6,1995
1995-06-12,75,58.6,12.45,137.58,6,1995
1995-06-13,75,57.6,12.45,142.29,6,1995
1995-06-14,75,58,13.03,138.17,6,1995
1995-06-15,73.75,58,12.83,138.46,6,1995
1995-06-16,73.75,58.6,12.93,139.35,6,1995
1995-06-19,73.75,60,13.22,139.35,6,1995
1995-06-20,73.75,60.4,12.93,139.94,6,1995
1995-06-21,72,60.6,12.83,137.87,6,1995
1995-06-22,71,59.6,12.83,137.58,6,1995
1995-06-23,68.5,59.2,11.97,135.81,6,1995
1995-06-26,66,58.2,11.39,133.45,6,1995
1995-06-27,65.5,58.6,11.48,131.98,6,1995
1995-06-28,65.75,58.8,11.58,135.52,6,1995
1995-06-29,64.5,59.2,11.39,133.75,6,1995
1995-06-30,65,58.6,11.39,132.28,6,1995
1995-07-03,64.25,58.4,10.81,129.04,7,1995
1995-07-04,63.5,58.6,10.71,129.63,7,1995
1995-07-05,62.75,58,10.9,128.15,7,1995
1995-07-06,62,58,11.1,129.04,7,1995
1995-07-07,62.75,58.6,11.39,130.51,7,1995
1995-07-10,63.75,58.6,11.48,129.33,7,1995
1995-07-11,65.5,59,11.77,130.51,7,1995
1995-07-12,67.5,59,11.58,134.34,7,1995
1995-07-13,69,60.2,11.48,134.34,7,1995
1995-07-14,69.25,60.6,11.39,136.7,7,1995
1995-07-17,70,60.6,11.68,138.46,7,1995
1995-07-18,70.5,60.8,11.77,139.05,7,1995
1995-07-19,74.5,60.6,11.68,141.11,7,1995
1995-07-20,77.75,61,11.77,140.82,7,1995
1995-07-21,78,60.8,11.77,140.53,7,1995
1995-07-25,82.25,61,11.39,144.65,7,1995
1995-07-26,80.25,61,11.68,145.53,7,1995
1995-07-27,78.75,61.2,11.58,146.12,7,1995
1995-07-28,76.75,60.6,11.19,139.64,7,1995
1995-07-31,74.75,59.8,11.1,136.4,7,1995
1995-08-01,74.5,59.4,11.1,136.7,8,1995
1995-08-02,75.5,59.8,11.19,140.23,8,1995
1995-08-03,74.75,59.8,11.1,134.93,8,1995
1995-08-04,74.5,60,11.1,138.17,8,1995
1995-08-07,74,60.2,10.9,138.17,8,1995
1995-08-08,73.75,59.8,11.1,139.35,8,1995
1995-08-09,73.5,60,11,138.76,8,1995
1995-08-11,75.25,60.2,10.9,137.58,8,1995
1995-08-14,73.5,60.8,10.81,137.87,8,1995
1995-08-16,73.25,61,10.81,139.05,8,1995
1995-08-17,73,61.2,10.71,140.82,8,1995
1995-08-21,73.25,60.8,10.81,141.41,8,1995
1995-08-22,71.25,59.8,10.81,142,8,1995
1995-08-24,71.25,60,10.62,140.23,8,1995
1995-08-25,70.75,59.2,10.62,138.46,8,1995
1995-08-28,71,59.2,10.62,136.11,8,1995
1995-08-31,70,59,10.42,137.87,8,1995
1995-09-01,70.5,58.8,10.23,139.35,9,1995
1995-09-04,70.5,58.8,9.94,138.46,9,1995
1995-09-05,70.25,59.2,9.84,138.17,9,1995
1995-09-06,70.5,60.2,9.84,139.94,9,1995
1995-09-07,71.5,59.8,9.94,138.46,9,1995
1995-09-08,71.25,59.2,9.94,140.23,9,1995
1995-09-11,71.75,59,9.94,139.94,9,1995
1995-09-12,71.25,58.6,9.94,137.87,9,1995
1995-09-13,71.25,58.6,9.94,137.87,9,1995
1995-09-14,71.5,58.2,9.94,137.87,9,1995
1995-09-15,71.5,58.4,10.13,138.17,9,1995
1995-09-18,71.5,58.2,10.04,137.87,9,1995
1995-09-19,71.25,58.2,10.13,138.17,9,1995
1995-09-20,71,59.2,10.13,139.05,9,1995
1995-09-21,71.5,60.4,10.23,139.64,9,1995
1995-09-22,72.75,60.6,10.23,141.11,9,1995
1995-09-25,75.75,61.4,10.33,144.06,9,1995
1995-09-26,75.25,61.8,10.71,145.53,9,1995
1995-09-27,74.25,61.4,10.42,142,9,1995
1995-09-28,73.5,60.8,10.42,142,9,1995
1995-09-29,72.75,63,10.62,143.18,9,1995
1995-10-04,73.5,62.2,11.29,147.6,10,1995
1995-10-05,72.75,62.2,11.48,149.66,10,1995
1995-10-06,73,63,11.77,151.13,10,1995
1995-10-09,73.5,63.2,11.58,149.07,10,1995
1995-10-10,73.75,63.4,11.39,147.6,10,1995
1995-10-11,72.75,63.4,11.19,149.36,10,1995
1995-10-12,73,63.2,11.39,148.48,10,1995
1995-10-13,73.25,64,11.58,150.25,10,1995
1995-10-16,73.5,63.6,11.68,151.43,10,1995
1995-10-17,73.75,62.8,11.58,152.9,10,1995
1995-10-18,74.25,63.4,11.39,152.31,10,1995
1995-10-19,74.5,63.4,11.19,150.25,10,1995
1995-10-20,74,63.6,11.1,148.48,10,1995
1995-10-23,73.5,63.6,11.39,144.65,10,1995
1995-10-26,72.5,62.8,11.29,141.41,10,1995
1995-10-27,72,63.8,11.39,144.65,10,1995
1995-10-30,72.5,63.6,11.48,142.29,10,1995
1995-10-31,72.5,63.6,11.58,143.18,10,1995
1995-11-01,72.5,63.8,11.58,147.89,11,1995
1995-11-02,72.5,63.8,11.68,144.36,11,1995
1995-11-03,71.5,63.8,11.48,145.83,11,1995
1995-11-06,71,63.6,11.39,142.88,11,1995
1995-11-08,68.5,61.4,11.48,140.82,11,1995
1995-11-09,65.75,60.6,11.48,139.05,11,1995
1995-11-10,65.25,59.8,11.39,139.35,11,1995
1995-11-13,64.25,59.6,10.9,134.63,11,1995
1995-11-14,62,58.6,10.81,133.6,11,1995
1995-11-15,55,59.2,10.81,135.08,11,1995
1995-11-16,56.75,58.8,10.62,132.04,11,1995
1995-11-17,54.5,58.4,10.42,130.6,11,1995
1995-11-20,54,58.4,10.23,133.75,11,1995
1995-11-21,54,58.4,10.04,132.87,11,1995
1995-11-22,51.25,56,9.84,130.8,11,1995
1995-11-23,48.75,56.8,9.36,124.35,11,1995
1995-11-24,50,57.6,9.79,127.56,11,1995
1995-11-27,51.25,57.6,9.94,125.27,11,1995
1995-11-28,50.75,57.4,9.65,121.23,11,1995
1995-11-29,50.25,57.6,9.55,116.96,11,1995
1995-11-30,52.75,58,9.7,121.7,11,1995
1995-12-01,53,59,9.84,120.49,12,1995
1995-12-04,54,59.2,10.13,119.55,12,1995
1995-12-05,54.5,59.6,10.42,115.54,12,1995
1995-12-06,55,61,10.81,119.49,12,1995
1995-12-07,58,61.4,11.1,122.76,12,1995
1995-12-08,58,61,11.1,118.84,12,1995
1995-12-11,57.5,61,11.1,117.55,12,1995
1995-12-12,57.5,61.2,11,117.1,12,1995
1995-12-13,56.5,61.2,11,121.23,12,1995
1995-12-14,56.5,61,11.19,118.43,12,1995
1995-12-15,56.5,61,11.1,117.99,12,1995
1995-12-18,56,61.8,11.19,117.69,12,1995
1995-12-19,56.5,61.4,11.48,114.9,12,1995
1995-12-20,57,61.6,11.87,114.75,12,1995
1995-12-21,56.5,62,11.97,117.55,12,1995
1995-12-22,57,62.4,11.77,115.78,12,1995
1996-01-01,56.5,62.2,11.87,117.55,1,1996
1996-01-02,56.5,62,11.58,116.37,1,1996
1996-01-03,55,62.2,11.48,115.04,1,1996
1996-01-04,53.5,62.2,11.39,111.8,1,1996
1996-01-05,52,62.2,11.48,109.59,1,1996
1996-01-08,50.5,62.2,11.48,105.17,1,1996
1996-01-09,50,62.2,11.58,105.62,1,1996
1996-01-10,51,62.6,11.68,104.73,1,1996
1996-01-11,52,62.4,12.06,107.09,1,1996
1996-01-12,52,62.4,12.16,105.03,1,1996
1996-01-15,52,62.8,12.26,106.06,1,1996
1996-01-16,51.5,62.6,11.97,105.76,1,1996
1996-01-17,52,62.6,11.87,101.49,1,1996
1996-01-18,52.5,63,11.97,98.69,1,1996
1996-01-19,52,63.2,11.97,97.81,1,1996
1996-01-22,52,63.4,11.87,98.69,1,1996
1996-01-23,52.5,63.6,12.16,96.34,1,1996
1996-01-24,52,62.6,12.06,94.86,1,1996
1996-01-25,53.5,63.4,12.06,92.8,1,1996
1996-01-29,53.5,64,12.06,96.92,1,1996
1996-01-30,53,64.2,12.06,97.51,1,1996
1996-01-31,53.5,64.4,12.26,98.1,1,1996
1996-02-01,54,65,12.55,100.75,2,1996
