Country Name,2007,2010,Leading digit(2007),Leading digit(2010),,,,,
Albania,"1,479,000,000","1,780,000,000",1,1,,,Frequency,,
Algeria,"332,000,000","323,000,000",3,3,,,Leading digit,2007,2010
Angola,"236,000,000","726,000,000",2,7,,,1,47,
Antigua and Barbuda,"338,000,000","298,000,000",3,2,,,2,29,
Argentina,"4,984,000,000","5,629,000,000",4,5,,,3,20,
Armenia,"343,000,000","456,000,000",3,4,,,4,19,
Aruba,"1,213,000,000","1,256,000,000",1,1,,,5,16,
Australia,"25,624,000,000","32,336,000,000",2,3,,,6,9,
Austria,"21,088,000,000","20,980,000,000",2,2,,,7,8,
Azerbaijan,"317,000,000","792,000,000",3,7,,,8,3,
"Bahamas, The","2,198,000,000","2,159,000,000",2,2,,,9,10,
Bahrain,"1,854,000,000","2,163,000,000",1,2,,,,,
Bangladesh,"76,000,000","103,000,000",7,1,,,,,
Barbados,"1,224,000,000","1,074,000,000",1,1,,,,,
Belarus,"479,000,000","665,000,000",4,6,,,,,
Belgium,"12,371,000,000","11,624,000,000",1,1,,,,,
Belize,"289,000,000","264,000,000",2,2,,,,,
Benin,"206,000,000","149,000,000",2,1,,,,,
Bermuda,"569,000,000","442,000,000",5,4,,,,,
Bhutan,"47,000,000","64,000,000",4,6,,,,,
Bolivia,"326,000,000","339,000,000",3,3,,,,,
Botswana,"548,000,000","80,000,000",5,8,,,,,
Brazil,"5,284,000,000","6,180,000,000",5,6,,,,,
Bulgaria,"4,181,000,000","4,035,000,000",4,4,,,,,
Burundi,"2,300,000","2,100,000",2,2,,,,,
Cabo Verde,"375,000,000","387,000,000",3,3,,,,,
Cambodia,"1,169,000,000","1,332,000,000",1,1,,,,,
Cameroon,"254,000,000","171,000,000",2,1,,,,,
Canada,"17,961,000,000","18,438,000,000",1,1,,,,,
Cayman Islands,"481,000,000","465,000,000",4,4,,,,,
Central African Republic,"10,800,000","7,200,000",1,7,,,,,
Chile,"2,226,000,000","2,422,000,000",2,2,,,,,
China,"41,126,000,000","50,154,000,000",4,5,,,,,
Colombia,"2,262,000,000","2,727,000,000",2,2,,,,,
Comoros,"30,000,000","35,000,000",3,3,,,,,
Costa Rica,"2,221,000,000","2,179,000,000",2,2,,,,,
Cote d'Ivoire,"115,000,000","213,000,000",1,2,,,,,
Croatia,"9,601,000,000","8,255,000,000",9,8,,,,,
Cuba,"2,415,000,000","2,218,000,000",2,2,,,,,
Curacao,"329,000,000","438,000,000",3,4,,,,,
Cyprus,"3,108,000,000","2,371,000,000",3,2,,,,,
Czech Republic,"7,775,000,000","8,017,000,000",7,8,,,,,
Denmark,"5,978,000,000","5,704,000,000",5,5,,,,,
Djibouti,"6,800,000","18,000,000",6,1,,,,,
Dominica,"74,000,000","95,000,000",7,9,,,,,
Dominican Republic,"4,064,000,000","4,209,000,000",4,4,,,,,
Ecuador,"626,000,000","786,000,000",6,7,,,,,
"Egypt, Arab Rep.","10,327,000,000","13,633,000,000",1,1,,,,,
